cmpid, context, order, belong, p, op, condition, is_desirable, offsets, state
393198520, 0, 1, 10, 65535, 288, 0, 7f, ffffffff, true, 0-1, Unsolvable
393210499, 0, 1, 10, 65535, 16418, 0, 7f, 0, true, 0-1, Unsolvable
3538894495, 0, 1, 10, 65535, 32, 2, 0, 0, true, , OneByte
393195913, 0, 1, 0, 65535, 32, 2, 7f, a, true, , OneByte
393198520, 0, 2, 10, 65535, 288, 0, 45, ffffffff, true, 1-2, Unsolvable
393210499, 0, 2, 10, 65535, 16418, 0, 45, 0, true, 1-2, Unsolvable
3538894495, 0, 2, 10, 65535, 32, 2, 80, 0, true, , OneByte
1179595561, 0, 1, 10, 65535, 288, 0, 4c, ffffffff, true, 2-3, Unsolvable
393210499, 0, 3, 10, 65535, 16418, 0, 4c, 0, true, 2-3, Unsolvable
3538894495, 0, 3, 4, 65535, 32, 2, 80, 0, true, , OneByte
1179595561, 0, 2, 10, 65535, 288, 0, 46, ffffffff, true, 3-4, Unsolvable
393210499, 0, 4, 10, 65535, 16418, 0, 46, 0, true, 3-4, Unsolvable
3538894495, 0, 4, 10, 65535, 32, 2, 80, 0, true, , OneByte
1179595561, 0, 3, 10, 65535, 288, 0, 1, ffffffff, true, 4-5, Unsolvable
393210499, 0, 5, 10, 65535, 16418, 0, 1, 0, true, 4-5, Unsolvable
3538894495, 0, 5, 4, 65535, 32, 2, 0, 0, false, , OneByte
393200434, 454458, 1, 1, 65535, 32, 2, 45, 2e, true, , OneByte
393228748, 454458, 1, 1, 65535, 32, 2, 45, 24, true, , OneByte
3623497946, 500724, 1, 3, 65535, 32, 2, 45, 5f, true, , OneByte
3623503457, 500724, 1, 3, 65535, 32, 2, 45, 5f, true, , OneByte
4182870349, 188222, 1, 3, 65535, 32, 2, 45, 5f, true, , OneByte
4182863881, 188222, 1, 4, 65535, 32770, 2, 0, 0, true, , Offset
393195913, 0, 2, 10, 65535, 32, 2, 1, a, true, , OneByte
393198520, 0, 3, 10, 65535, 288, 0, 1, ffffffff, true, 5-6, Unsolvable
393210499, 0, 6, 10, 65535, 16418, 0, 1, 0, true, 5-6, Unsolvable
3538894495, 0, 6, 10, 65535, 32, 2, 0, 0, true, , OneByte
393195913, 0, 3, 10, 65535, 32, 2, 1, a, true, , OneByte
393198520, 0, 4, 10, 65535, 288, 0, 1, ffffffff, true, 6-7, Unsolvable
393210499, 0, 7, 10, 65535, 16418, 0, 1, 0, true, 6-7, Unsolvable
3538894495, 0, 7, 10, 65535, 32, 2, 0, 0, true, , OneByte
393195913, 0, 4, 10, 65535, 32, 2, 1, a, true, , OneByte
393198520, 0, 5, 10, 65535, 288, 0, 0, ffffffff, true, 7-8, Unsolvable
393210499, 0, 8, 10, 65535, 16418, 0, 0, 0, true, 7-8, Unsolvable
3538894495, 0, 8, 4, 65535, 32, 2, 0, 0, false, , OneByte
1179595561, 0, 4, 10, 65535, 288, 0, 0, ffffffff, true, 8-9, Unsolvable
393210499, 0, 9, 10, 65535, 16418, 0, 0, 0, true, 8-9, Unsolvable
3538894495, 0, 9, 4, 65535, 32, 2, 0, 0, true, , OneByte
1179595561, 0, 5, 10, 65535, 288, 0, 0, ffffffff, true, 9-10, Unsolvable
393210499, 0, 10, 10, 65535, 16418, 0, 0, 0, true, 9-10, Unsolvable
3538894495, 0, 10, 4, 65535, 32, 2, 0, 0, true, , OneByte
1179595561, 0, 6, 10, 65535, 288, 0, 0, ffffffff, true, 10-11, Unsolvable
393210499, 0, 11, 10, 65535, 16418, 0, 0, 0, true, 10-11, Unsolvable
3538894495, 0, 11, 4, 65535, 32, 2, 0, 0, true, , OneByte
1179595561, 0, 7, 10, 65535, 288, 0, 0, ffffffff, true, 11-12, Unsolvable
393210499, 0, 12, 10, 65535, 16418, 0, 0, 0, true, 11-12, Unsolvable
3538894495, 0, 12, 4, 65535, 32, 2, 0, 0, true, , OneByte
1179595561, 0, 8, 10, 65535, 288, 0, 0, ffffffff, true, 12-13, Unsolvable
393210499, 0, 13, 10, 65535, 16418, 0, 0, 0, true, 12-13, Unsolvable
3538894495, 0, 13, 4, 65535, 32, 2, 0, 0, true, , OneByte
1179595561, 0, 9, 10, 65535, 288, 0, 0, ffffffff, true, 13-14, Unsolvable
393210499, 0, 14, 10, 65535, 16418, 0, 0, 0, true, 13-14, Unsolvable
3538894495, 0, 14, 4, 65535, 32, 2, 0, 0, true, , OneByte
1179595561, 0, 10, 10, 65535, 288, 0, 0, ffffffff, true, 14-15, Unsolvable
393210499, 0, 15, 10, 65535, 16418, 0, 0, 0, true, 14-15, Unsolvable
