cmpid, context, order, belong, p, op, condition, is_desirable, offsets, state
1425443257, 348482, 65537, 0, 65535, 32771, 2, 144, 0, true, , Offset
1291886111, 264567, 65537, 0, 65535, 32771, 2, 144, 1, true, , Offset
2599818878, 901202, 65537, 0, 65535, 32771, 2, 8, 8, true, , Offset
3504501714, 901202, 65537, 0, 65535, 32771, 2, 8, 8, true, , Offset
1215640488, 958201, 65537, 76, 65535, 32771, 2, 8, ffffffffffffffff, true, , Offset
621541711, 901202, 65537, 0, 65535, 32771, 2, 8, 8, true, , Offset
1215692496, 359414, 65537, 76, 65535, 32771, 2, 0, 8, true, , Offset
2599818878, 865504, 65537, 0, 65535, 32771, 2, 40, 40, true, , Offset
3504501714, 865504, 65537, 76, 65535, 32771, 2, 40, 40, true, , Offset
1215640488, 151927, 65537, 76, 65535, 32771, 2, 40, ffffffffffffffff, true, , Offset
2523181258, 865504, 65537, 0, 65535, 32771, 2, 40, 40, true, , Offset
2523167233, 865504, 1, 38, 65535, 32, 2, 7f, 7f, true, , OneByte
2523162910, 865504, 1, 38, 65535, 32, 2, 45, 45, true, , OneByte
2523162943, 865504, 1, 38, 65535, 32, 2, 4c, 4c, true, , OneByte
2523162976, 865504, 1, 2, 65535, 32, 2, 46, 46, true, , OneByte
2523167596, 865504, 1, 0, 65535, 32, 2, 1, 1, true, , OneByte
2523165451, 865504, 1, 56, 65535, 32, 2, 1, 2, true, , OneByte
1215692496, 865504, 65537, 76, 65535, 32771, 2, 0, 40, true, , Offset
2599818878, 386250, 65537, 0, 65535, 32771, 2, 34, 34, true, , Offset
3504501714, 386250, 65537, 76, 65535, 32771, 2, 34, 34, true, , Offset
1215640488, 658976, 65537, 76, 65535, 32771, 2, 34, ffffffffffffffff, true, , Offset
2523071269, 386250, 65537, 0, 65535, 32771, 2, 34, 34, true, , Offset
2523057244, 386250, 1, 38, 65535, 32, 2, 7f, 7f, true, , OneByte
2523052921, 386250, 1, 38, 65535, 32, 2, 45, 45, true, , OneByte
2523052954, 386250, 1, 38, 65535, 32, 2, 4c, 4c, true, , OneByte
2523052987, 386250, 1, 2, 65535, 32, 2, 46, 46, true, , OneByte
2523057607, 386250, 1, 0, 65535, 32, 2, 1, 1, true, , OneByte
2523055462, 386250, 1, 42, 65535, 32, 2, 1, 1, true, , OneByte
2523020746, 386250, 1, 52, 65535, 255, 2, 1, 2, true, , OneByte
2523020746, 386250, 65537, 0, 65535, 255, 2, 1, 1, true, 5-6, OneByte
2523043549, 386250, 1, 56, 65535, 32, 2, 100, 4, true, , Offset
2523044803, 386250, 1, 0, 65535, 36, 2, a4, 34, true, , Offset
2523049357, 386250, 1, 10, 65535, 32, 2, 28, 28, true, , Offset
2523045133, 386250, 1, 3, 65535, 36, 2, 34, 34, true, , Offset
2523050875, 386250, 1, 10, 65535, 32, 2, 3, 3, true, , Offset
2523044605, 386250, 1, 10, 65535, 32, 2, 2, 2, true, , Offset
2523045859, 386250, 1, 10, 65535, 32, 2, 2, 0, true, , Offset
2523060379, 386250, 1, 55, 65535, 32, 2, 0, 0, true, , OneByte
3274171767, 386250, 1, 49, 65535, 34, 2, 5a, 33, true, , Offset
1215692496, 798588, 1, 0, 65535, 288, 2, a4, 34, true, , Offset
1215692496, 798588, 65537, 0, 65535, 32771, 2, a4, 34, true, , Offset
2599818878, 386250, 65538, 10, 65535, 32771, 2, 28, 28, true, , Offset
3504501714, 386250, 65538, 174, 65535, 32771, 2, 4, 4, true, , Offset
1215640488, 296061, 65537, 66, 65535, 32771, 2, 0, ffffffffffffffff, true, , Offset
2523077176, 386250, 65537, 10, 65535, 32771, 2, 28, 28, true, , Offset
1232451812, 902382, 1, 75, 65535, 32, 2, 0, 8, true, , Offset
1215654447, 71364, 65537, 75, 65535, 32771, 2, 13f, 0, true, , Offset
1215657120, 665201, 65537, 75, 65535, 32771, 2, ffffffffffffffff, 13f, true, , Offset
2523032164, 902382, 65537, 75, 65535, 32771, 2, 13f, 0, true, , Offset
2523048532, 902382, 1, 3, 65535, 34, 2, 80, 144, true, , Offset
2523048532, 902382, 65537, 3, 65535, 32771, 2, 80, 144, true, , Offset
2523036586, 902382, 1, 10, 65535, 34, 2, 0, 144, true, , Offset
2523051238, 386250, 1, 3, 65535, 32, 2, 4, 0, true, , Offset
2523054835, 386250, 1, 75, 65535, 32, 2, 3, ffff, true, , Offset
2523051832, 386250, 1, 75, 65535, 32, 2, 2, ffff, true, , Offset
2523052129, 386250, 1, 10, 65535, 32, 2, 4, 1, true, , Offset
2523048961, 386250, 1, 75, 65535, 34, 2, 4, 6666666, true, , Offset
2523052261, 386250, 1, 75, 65535, 34, 2, 4, 3333333, true, , Offset
2523054571, 386250, 1, 75, 1, 34, 1, 11c, a4, false, 32-33&33-34&34-35&35-36, Offset
1215692496, 865095, 1, 75, 65535, 32, 2, 11c, cc, true, , Offset
2599818878, 386250, 65539, 3, 65535, 32771, 2, 28, 28, true, , Offset
3504501714, 386250, 65539, 174, 0, 32771, 0, 2, 2, true, , Offset
1215640488, 723336, 65537, 75, 0, 32771, 0, 23, ffffffffffffffff, true, , Offset
2523075427, 386250, 65537, 3, 65535, 32771, 2, 28, 28, true, , Offset
1215692496, 308633, 1, 49, 1, 32, 0, 82, fa, false, 32-33&33-34&34-35&35-36, Offset
2523048598, 386250, 1, 49, 65535, 32, 2, 4, 0, true, , Offset
1054220512, 851546, 1, 49, 1, 40, 0, 140, 0, false, 48-49&49-50, Offset
3162580456, 851546, 1, 49, 1, 288, 0, 140, 0, false, 48-49&49-50, Offset
897806777, 851546, 1, 49, 1, 288, 0, 140, 0, false, 48-49&49-50, Offset
3785293701, 851546, 1, 49, 65535, 34, 2, 140, 240, false, , Offset
4002872241, 851546, 1, 49, 1, 16418, 0, 140, 0, true, 48-49&49-50, Offset
1054220512, 899907, 1, 49, 1, 40, 0, 20, 0, false, 48-49&49-50, Offset
3162580456, 899907, 1, 49, 1, 288, 0, 20, 0, false, 48-49&49-50, Offset
897806777, 899907, 1, 49, 1, 288, 0, 20, 0, false, 48-49&49-50, Offset
3785293701, 899907, 1, 49, 1, 34, 0, 20, 100, false, 48-49&49-50, Offset
1054195696, 899907, 1, 49, 1, 288, 0, 55843f18a310, 0, false, 48-49&49-50, Offset
1232488046, 386250, 1, 49, 1, 288, 0, 55843f18a310, 0, false, 48-49&49-50, Offset
1054220512, 713667, 1, 49, 1, 40, 0, 4, 0, false, 48-49&49-50, Offset
3162580456, 713667, 1, 49, 1, 288, 0, 4, 0, false, 48-49&49-50, Offset
897806777, 713667, 1, 49, 1, 288, 0, 8, 0, false, 48-49&49-50, Offset
3785293701, 713667, 1, 49, 1, 34, 0, 8, e0, false, 48-49&49-50, Offset
1054195696, 713667, 1, 49, 1, 288, 0, 55843f18a330, 0, false, 48-49&49-50, Offset
3162576496, 491332, 1, 49, 1, 288, 0, 55843f18a330, 0, false, 48-49&49-50, Offset
3697466812, 386250, 1, 49, 1, 288, 0, 55843f18a330, 0, false, 48-49&49-50, Offset
2523077671, 386250, 1, 49, 1, 288, 0, 4, 0, false, 48-49&49-50, Offset
3274265718, 386250, 1, 10, 65535, 288, 2, 1, 4, true, , Offset
3274265718, 386250, 2, 49, 65535, 288, 2, 2, 4, true, , Offset
3274265718, 386250, 3, 3, 65535, 288, 2, 3, 4, true, , Offset
3274265718, 386250, 4, 49, 65535, 288, 2, 4, 4, true, , Offset
2523059323, 386250, 1, 10, 65535, 34, 2, 4, 1, true, , Offset
2599818878, 386250, 65540, 0, 65535, 32771, 2, 28, 28, true, , Offset
3504501714, 386250, 65540, 76, 65535, 32771, 2, 6, 6, true, , Offset
1215640488, 19301, 65537, 49, 65535, 32771, 2, 28, ffffffffffffffff, true, , Offset
2523076813, 386250, 65537, 49, 65535, 32771, 2, 28, 28, true, , Offset
1232451812, 568182, 1, 49, 65535, 32, 2, 646c726f, 8, true, , Offset
1215653094, 293212, 65537, 55, 65535, 32771, 2, 145, 2, true, , Offset
2523048532, 568182, 1, 10, 65535, 34, 2, 74, 144, true, , Offset
2523048532, 568182, 65537, 10, 65535, 32771, 2, 74, 144, true, , Offset
2523036586, 568182, 1, 0, 65535, 34, 2, c, d0, true, , Offset
2523059554, 386250, 1, 0, 65535, 36, 2, 0, 4, true, , Offset
2523063547, 386250, 1, 67, 65535, 32, 2, 0, 0, true, , Offset
2523064669, 386250, 1, 92, 65535, 32, 2, 1, 4, true, , Offset
2523064702, 386250, 1, 92, 65535, 32, 2, 1, 9, true, , Offset
2523060544, 386250, 1, 10, 65535, 32, 2, c, 0, true, , Offset
2523080179, 386250, 1, 0, 65535, 32, 2, 2, 0, true, , Offset
2523063877, 386250, 1, 92, 65535, 32, 2, 1, 8, true, , Offset
2523030217, 386250, 1, 10, 65535, 32, 2, 0, 0, true, , Offset
3274210674, 386250, 1, 92, 65535, 36, 2, 2, 4, true, , Offset
2599818878, 386250, 65541, 76, 65535, 32771, 2, 80, 80, true, , Offset
3504501714, 386250, 65541, 76, 65535, 32771, 2, 80, 80, true, , Offset
1215640488, 19301, 65538, 92, 65535, 32771, 2, 28, ffffffffffffffff, true, , Offset
2523076813, 386250, 65538, 92, 65535, 32771, 2, 28, 28, true, , Offset
1232451812, 568182, 2, 92, 65535, 32, 2, 11, 8, true, , Offset
2523048532, 568182, 2, 0, 65535, 34, 2, 80, 144, true, , Offset
2523048532, 568182, 65538, 0, 65535, 32771, 2, 80, 144, true, , Offset
2523036586, 568182, 2, 137, 65535, 34, 2, c, c4, true, , Offset
2523059554, 386250, 2, 0, 65535, 36, 2, 0, 4, true, , Offset
2523063547, 386250, 2, 137, 65535, 32, 2, 0, 0, true, , Offset
2523064669, 386250, 2, 225, 65535, 32, 2, 10000, 4, true, , Offset
2523064702, 386250, 2, 225, 65535, 32, 2, 10000, 9, true, , Offset
2523060544, 386250, 2, 10, 65535, 32, 2, c, 0, true, , Offset
2523080179, 386250, 2, 10, 65535, 32, 2, 2, 0, true, , Offset
2523063877, 386250, 2, 137, 65535, 32, 2, 1, 8, true, , Offset
2523030217, 386250, 2, 10, 65535, 32, 2, 0, 0, true, , Offset
3274210674, 386250, 2, 6, 65535, 36, 2, 3, 4, true, , Offset
2523076813, 386250, 65539, 225, 0, 32771, 1, 28, 28, true, , Offset
1232451812, 568182, 3, 225, 0, 32, 0, 3, 8, true, 288-292, Offset
2523048532, 568182, 3, 0, 65535, 34, 2, 8c, 144, true, , Offset
2523048532, 568182, 65539, 10, 65535, 32771, 2, 8c, 144, true, , Offset
2523036586, 568182, 3, 0, 65535, 34, 2, 17, b8, true, , Offset
2523059554, 386250, 3, 10, 65535, 36, 2, 0, 4, true, , Offset
2523063547, 386250, 3, 10, 65535, 32, 2, 0, 0, true, , Offset
2523064669, 386250, 3, 137, 65535, 32, 2, 3, 4, true, , Offset
2523064702, 386250, 3, 10, 65535, 32, 2, 3, 9, true, , Offset
2523060544, 386250, 3, 137, 65535, 32, 2, 18, 0, true, , Offset
2523080179, 386250, 3, 10, 65535, 32, 2, 0, 0, true, , Offset
3274210674, 386250, 3, 137, 65535, 36, 2, 4, 4, true, , Offset
2523058663, 386250, 1, 6, 65535, 36, 2, 3, 4, true, , Offset
2523064141, 386250, 1, 225, 1, 16418, 0, 3, 0, true, 50-51&51-52, Offset
2523072853, 386250, 1, 10, 65535, 32, 2, 3, 3, true, , Offset
2523051700, 386250, 1, 10, 65535, 32, 2, 2, 0, true, , Offset
3274175925, 386250, 65537, 56, 65535, 32771, 2, 142, 0, true, , Offset
3274189092, 386250, 1, 10, 65535, 36, 2, a, 2, true, , Offset
3274189092, 386250, 65537, 10, 65535, 32771, 2, a, 2, true, , Offset
1054220512, 544610, 1, 225, 1, 40, 0, 80, 0, false, 44-45&45-46, Offset
3162580456, 544610, 1, 225, 1, 288, 0, 80, 0, false, 44-45&45-46, Offset
897806777, 544610, 1, 225, 1, 288, 0, 80, 0, false, 44-45&45-46, Offset
3785293701, 544610, 1, 10, 65535, 34, 2, 80, c0, true, , Offset
4002872241, 544610, 1, 225, 1, 16418, 0, 80, 0, true, 44-45&45-46, Offset
1054195696, 544610, 1, 225, 1, 288, 0, 55a6a4677338, 0, false, 48-49&49-50, Offset
2523063217, 386250, 1, 225, 1, 288, 0, 55a6a4677338, 0, false, 48-49&49-50, Offset
1215692496, 692747, 1, 10, 65535, 32, 2, 34, 144, true, , Offset
2523049225, 386250, 1, 225, 1, 288, 0, 2, 0, false, 44-45&45-46, Offset
2599818878, 386250, 65543, 55, 65535, 32771, 2, 6, 6, true, , Offset
3504501714, 386250, 65543, 55, 65535, 32771, 2, 6, 6, true, , Offset
1215640488, 1010348, 65537, 225, 65535, 32771, 2, 20, ffffffffffffffff, true, , Offset
2523079849, 386250, 65537, 10, 65535, 32771, 2, 20, 20, true, , Offset
2523052789, 386250, 1, 10, 65535, 36, 2, 1, 2, true, , Offset
3274180380, 386250, 1, 10, 65535, 36, 2, 1, 2, true, , Offset
2599818878, 386250, 65544, 55, 65535, 32771, 2, 80, 80, true, , Offset
3504501714, 386250, 65544, 55, 65535, 32771, 2, 80, 80, true, , Offset
1215640488, 1010348, 65538, 225, 65535, 32771, 2, 20, ffffffffffffffff, true, , Offset
2523079849, 386250, 65538, 225, 65535, 32771, 2, 20, 20, true, , Offset
2523052789, 386250, 2, 10, 65535, 36, 2, 1, 2, true, , Offset
3274180380, 386250, 2, 10, 65535, 36, 2, 2, 2, true, , Offset
2523056353, 386250, 1, 10, 65535, 32, 2, 3, 0, true, , Offset
2523083578, 386250, 1, 225, 1, 34, 1, a4, 33, false, 32-33&33-34&34-35&35-36, Offset
2523063151, 386250, 1, 225, 1, 34, 1, 4, 1, false, 48-49&49-50, Offset
3918616791, 314936, 1, 225, 1, 34, 1, 4, 1, false, 48-49&49-50, Offset
2722748632, 314936, 1, 225, 1, 288, 1, 0, 0, false, 48-49&49-50, Offset
2737804899, 26907, 1, 10, 65535, 32, 2, b, 0, true, , Offset
2737820244, 26907, 1, 225, 1, 288, 0, 55a6a4677310, 0, false, 48-49&49-50, Offset
2737840935, 26907, 1, 225, 1, 34, 1, 4, 3, false, 48-49&49-50, Offset
906087779, 26907, 1, 225, 1, 16416, 0, 55a6a4677328, 0, true, 48-49&49-50&50-51&51-52, Offset
2737810608, 26907, 1, 225, 65535, 32, 2, 0, 0, true, , Offset
2737813941, 26907, 1, 225, 1, 32, 1, 3, 3, false, 48-49&49-50&50-51&51-52&288-292, Offset
2737802556, 943864, 1, 225, 1, 288, 0, 55a6a4677310, 0, false, 48-49&49-50, Offset
2737805856, 943864, 1, 225, 1, 34, 1, 4, 3, false, 48-49&49-50, Offset
2737815690, 943864, 1, 225, 1, 32, 0, 55a6a46772c0, 0, false, 48-49&49-50&50-51&51-52, Offset
3165398111, 943864, 1, 225, 1, 32, 1, 0, 0, false, 48-49&49-50&50-51&51-52, Offset
2737817175, 943864, 1, 137, 65535, 36, 2, 19, 2, true, , Offset
1215692496, 989506, 1, 137, 65535, 32, 2, 8c, 144, true, , Offset
2737829154, 284819, 65537, 225, 65535, 32771, 2, 144, 0, true, , Offset
2737844400, 284819, 1, 10, 65535, 36, 2, 144, 17, true, , Offset
2737844400, 284819, 65537, 10, 65535, 32771, 2, 144, 17, true, , Offset
1054220512, 230677, 1, 225, 1, 40, 0, 18, 0, false, 48-49&49-50&50-51&51-52&304-305&305-306&306-307&307-308, Offset
3162580456, 230677, 1, 225, 1, 288, 0, 18, 0, false, 48-49&49-50&50-51&51-52&304-305&305-306&306-307&307-308, Offset
897806777, 230677, 1, 225, 1, 288, 0, 18, 0, false, 48-49&49-50&50-51&51-52&304-305&305-306&306-307&307-308, Offset
3785293701, 230677, 1, 10, 65535, 34, 2, 18, 40, true, , Offset
4002872241, 230677, 1, 225, 1, 16418, 0, 18, 0, true, 48-49&49-50&50-51&51-52&304-305&305-306&306-307&307-308, Offset
1054195696, 230677, 1, 225, 1, 288, 0, 55a6a46773b8, 0, false, 44-45&45-46&48-49&49-50, Offset
2737819584, 284819, 1, 225, 1, 288, 0, 55a6a46773b8, 0, false, 44-45&45-46&48-49&49-50, Offset
2599823003, 284819, 1, 225, 1, 38, 1, 17, 0, false, 48-49&49-50&50-51&51-52&304-305&305-306&306-307&307-308, Offset
2599829735, 284819, 1, 225, 1, 38, 0, 17, 800000, false, 48-49&49-50&50-51&51-52&304-305&305-306&306-307&307-308, Offset
2599818878, 284819, 1, 0, 65535, 40, 2, 17, 17, true, , Offset
2599818878, 284819, 65537, 0, 65535, 32771, 2, 17, 17, true, , Offset
3504501714, 284819, 1, 225, 1, 40, 0, 17, 17, false, 48-49&49-50&50-51&51-52&304-305&305-306&306-307&307-308, Offset
3504501714, 284819, 65537, 225, 65535, 32771, 2, 17, 17, true, , Offset
1215640488, 528084, 65537, 225, 65535, 32771, 2, 17, ffffffffffffffff, true, , Offset
2737851231, 284819, 1, 0, 65535, 288, 2, 17, 17, true, , Offset
2737851231, 284819, 65537, 0, 65535, 32771, 2, 17, 17, true, , Offset
2737816185, 943864, 1, 225, 1, 288, 0, 55a6a46773b8, 0, false, 44-45&45-46&48-49&49-50, Offset
2737814271, 943864, 1, 225, 1, 16417, 0, 55a6a46773cf, 0, true, 44-45&45-46&48-49&49-50&50-51&51-52&304-305&305-306&306-307&307-308, Offset
2737843674, 26907, 1, 225, 1, 288, 0, 55a6a46773b8, 0, false, 44-45&45-46&48-49&49-50, Offset
2737806021, 26907, 1, 10, 65535, 34, 2, 17, b, true, , Offset
2737827141, 26907, 1, 225, 1, 16418, 0, b, 0, true, 48-49&49-50&204-205&205-206&206-207&207-208, Offset
2737858689, 314936, 1, 225, 65535, 32, 2, 55a6a46773c3, 0, true, , Offset
3918579765, 314936, 1, 10, 65535, 255, 2, 2, 0, true, , Offset
3918579765, 314936, 65537, 0, 65535, 255, 2, 1, 1, true, 48-49&49-50&208-212, Offset
3918579765, 314936, 131073, 137, 65535, 255, 2, 4, 8, true, , Offset
3918579765, 314936, 196609, 225, 65535, 255, 2, 2, 5, true, , Offset
3918579765, 314936, 262145, 137, 65535, 255, 2, 4, 7, true, , Offset
3918579765, 314936, 327681, 225, 65535, 255, 2, 2, e, true, , Offset
3918579765, 314936, 393217, 225, 65535, 255, 2, 2, f, true, , Offset
3918579765, 314936, 458753, 225, 65535, 255, 2, 2, 10, true, , Offset
3918579765, 314936, 524289, 225, 65535, 255, 2, 2, 6ffffff7, true, , Offset
3918579765, 314936, 589825, 225, 65535, 255, 2, 2, 6ffffff6, true, , Offset
3918579765, 314936, 655361, 137, 65535, 255, 2, 4, 6, true, , Offset
3918579765, 314936, 720897, 0, 65535, 255, 2, 1, 2, true, , Offset
3918579765, 314936, 786433, 225, 65535, 255, 2, 2, b, true, , Offset
3918579765, 314936, 851969, 137, 65535, 255, 2, 4, 12, true, , Offset
