cmpid, context, order, belong, p, op, condition, is_desirable, offsets, state
1425443257, 471879, 65537, 0, 65535, 32771, 2, 144, 0, true, , Offset
2794162768, 545184, 65537, 0, 65535, 32771, 2, 144, 1, true, , Offset
2599818878, 518987, 65537, 0, 65535, 32771, 2, 8, 8, true, , Offset
3504501714, 518987, 65537, 0, 65535, 32771, 2, 8, 8, true, , Offset
1215640488, 308704, 65537, 107, 65535, 32771, 2, 8, ffffffffffffffff, true, , Offset
621541711, 518987, 65537, 0, 65535, 32771, 2, 8, 8, true, , Offset
1215692496, 518987, 65537, 1705, 0, 32771, 0, 0, 8, true, , Offset
2599818878, 838389, 65537, 0, 65535, 32771, 2, 40, 40, true, , Offset
3504501714, 838389, 65537, 107, 65535, 32771, 2, 40, 40, true, , Offset
1215640488, 241506, 65537, 107, 65535, 32771, 2, 40, ffffffffffffffff, true, , Offset
2523181258, 838389, 65537, 0, 65535, 32771, 2, 40, 40, true, , Offset
2523167233, 838389, 1, 27, 65535, 32, 2, 7f, 7f, true, , OneByte
2523162910, 838389, 1, 27, 65535, 32, 2, 45, 45, true, , OneByte
2523162943, 838389, 1, 27, 65535, 32, 2, 4c, 4c, true, , OneByte
2523162976, 838389, 1, 27, 65535, 32, 2, 46, 46, true, , OneByte
2523167596, 838389, 1, 0, 65535, 32, 2, 1, 1, true, , OneByte
2523165451, 838389, 1, 56, 65535, 32, 2, 1, 2, true, , OneByte
1215692496, 269023, 65538, 107, 65535, 32771, 2, 0, 40, true, , Offset
2599818878, 838389, 65538, 0, 65535, 32771, 2, 34, 34, true, , Offset
3504501714, 838389, 65538, 107, 65535, 32771, 2, 34, 34, true, , Offset
1215640488, 204831, 65537, 107, 65535, 32771, 2, 34, ffffffffffffffff, true, , Offset
2523071269, 838389, 65537, 0, 65535, 32771, 2, 34, 34, true, , Offset
2523057244, 838389, 1, 27, 65535, 32, 2, 7f, 7f, true, , OneByte
2523052921, 838389, 1, 27, 65535, 32, 2, 45, 45, true, , OneByte
2523052954, 838389, 1, 27, 65535, 32, 2, 4c, 4c, true, , OneByte
2523052987, 838389, 1, 27, 65535, 32, 2, 46, 46, true, , OneByte
